Date,EPS,Quarter
2025-03-31,$1.54,Q12025
2024-12-31,$1.88,Q42024
2024-09-30,$1.61,Q32024
2024-06-30,$1.52,Q22024
2024-03-31,$1.40,Q12024
2023-12-31,$1.83,Q42023
2023-09-30,$1.37,Q32023
2023-06-30,$1.37,Q22023
2023-03-31,$1.59,Q12023
2022-12-31,$1.57,Q42022
