Date,EPS,Quarter
2025-03-31,-0.72,Q12025
2024-12-31,0.94,Q42024
2024-09-30,-0.23,Q32024
2024-06-30,1.01,Q22024
2024-03-31,-0.48,Q12024
2023-12-31,0.14,Q42023
2023-09-30,-0.83,Q32023
2023-06-30,1.88,Q22023
2023-03-31,0.02,Q12023
2022-12-31,1.34,Q42022
