Date,EPS,Quarter
2025-05-29,4.28,Q12025
2025-03-07,4.04,Q42024
2024-12-12,5.28,Q32024
2024-10-05,3.78,Q22024
2024-06-01,3.98,Q12024
2024-03-03,3.58,Q42023
2023-12-14,4.86,Q32023
2023-10-06,2.93,Q22023
2023-06-02,3.30,Q12023
2023-03-02,3.07,Q42022

