Date,EPS,Quarter
2025-05-29,$4.28,Q32025
2025-03-07,$4.02,Q22025
2024-12-12,$4.04,Q12025
2024-10-05,$4.20,Q42024
2024-06-01,$3.76,Q32024
2024-03-03,$3.30,Q22024
2023-12-14,$3.10,Q12024
2023-10-06,$4.20,Q42023
2023-06-02,$3.43,Q32023
2023-03-02,$3.30,Q22023
2022-12-08,$3.10,Q12023
