Date,EPS,Quarter
2025-05-08,€0.38,Q12025
2025-03-11,€1.34,Q42024
2024-11-10,€1.20,Q32024
2024-08-10,€1.10,Q22024
2024-05-10,€0.38,Q12024
2024-03-11,€1.34,Q42023
2023-11-10,€1.20,Q32023
2023-08-10,€1.10,Q22023
2023-05-10,€0.38,Q12023
2023-03-11,€1.34,Q42022
2022-11-10,€1.20,Q32022
