Date,EPS,Quarter
2025-03-31,1.39,Q12025
2024-12-31,1.42,Q42024
2024-09-30,1.42,Q32024
2024-06-30,1.33,Q22024
2024-03-31,1.20,Q12024
2023-12-31,0.87,Q42023
2023-09-30,1.48,Q32023
2023-06-30,1.25,Q22023
2023-03-31,1.23,Q12023
2022-12-31,0.75,Q42022
