Date,EPS,Quarter
2025-04-28,0.40,Q12025
2025-02-11,0.19,Q42024
2024-10-28,0.73,Q32024
2024-07-29,0.42,Q22024
2024-04-29,0.22,Q12024
2024-02-13,0.15,Q42023
2023-10-30,0.24,Q32023
2023-07-31,0.20,Q22023
2023-05-02,0.05,Q12023
2023-02-15,-0.01,Q42022
