Date,EPS,Quarter
2025-04-29,1.04,Q12025
2025-02-25,2.62,Q42024
2024-10-29,-1.69,Q32024
2024-07-30,1.92,Q22024
2024-04-30,1.96,Q12024
2024-02-27,0.18,Q42023
2023-10-26,1.26,Q32023
2023-07-27,1.02,Q22023
2023-04-26,0.72,Q12023
2023-02-23,-1.47,Q42022
