Date,EPS,Quarter
2025-03-31,$2.04,Q12025
2024-12-31,$1.33,Q42024
2024-09-30,$2.48,Q32024
2024-06-30,$2.07,Q22024
2024-03-31,$1.67,Q12024
2023-12-31,$1.70,Q42023
2023-09-30,$-3.74,Q32023
2023-06-30,$-12.35,Q22023
2023-03-31,$1.76,Q12023
2022-12-31,$1.01,Q42022
