Date,EPS,Quarter
2025-04-18,1.11,Q12025
2025-01-19,0.91,Q42024
2024-10-19,1.02,Q32024
2024-07-19,0.58,Q22024
2024-04-19,1.11,Q12024
2024-01-19,0.21,Q42023
2023-10-19,0.73,Q32023
2023-07-19,0.79,Q22023
2023-04-19,0.11,Q12023
2023-01-19,0.74,Q42022
