Date,EPS,Quarter
2025-04-30,3.50,Q12025
2025-02-12,-0.14,Q42024
2024-10-30,3.10,Q32024
2024-08-07,3.16,Q22024
2024-05-08,2.43,Q12024
2024-02-14,2.40,Q42023
2023-10-25,2.93,Q32023
2023-08-02,2.21,Q22023
2023-05-03,2.77,Q12023
2023-02-15,1.39,Q42022
