Date,EPS,Quarter
2025-03-31,$6.32,Q12025
2024-12-31,$7.32,Q42024
2024-09-30,$5.81,Q32024
2024-06-30,$4.32,Q22024
2024-03-31,$3.38,Q12024
2023-12-31,$5.63,Q42023
2023-09-30,$5.23,Q32023
2023-06-30,$5.35,Q22023
2023-03-31,$5.31,Q12023
2022-12-31,$4.85,Q42022
