Date,EPS,Quarter
2025-04-29,2.76,Q12025
2025-01-30,2.75,Q42024
2024-10-29,2.71,Q32024
2024-07-23,2.42,Q22024
2024-04-23,2.51,Q12024
2024-01-25,2.41,Q42023
2023-10-24,2.33,Q32023
2023-07-25,2.16,Q22023
2023-04-25,2.09,Q12023
2023-01-26,2.18,Q42022
