Date,EPS,Quarter
2025-04-29,$2.22,Q12025
2025-01-26,$2.52,Q42024
2024-10-26,$2.23,Q32024
2024-07-26,$2.23,Q22024
2024-04-28,$2.23,Q12024
2024-01-26,$2.52,Q42023
2023-10-26,$2.23,Q32023
2023-07-26,$2.23,Q22023
2023-04-28,$2.23,Q12023
2023-01-26,$2.52,Q42022
2022-10-26,$2.23,Q32022
