SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25,SVD_26,SVD_27,SVD_28,SVD_29,SVD_30,Company,Sector,Quarter
-0.3263734501815112,-0.34604357564630855,0.0727690017218561,-0.490584126197179,0.17368457180730068,-0.5013336527152934,0.3221290607033036,-0.2653756792631215,0.0917192259910912,0.029854506649254396,-0.06405169354689466,0.033644643636081856,-0.0021435744750774397,0.030421403075028202,-0.009201099719708387,0.013977203018987108,-0.0015591075365928061,0.005011285494696505,-0.0038490199068913654,0.004212888177931856,-0.004866638224294946,0.0087078682321159,-0.003084995152305226,1.836867960007652e-05,0.0025617499579382945,-0.004106976771095264,0.0055028893590739186,-0.027770809748862847,-0.011989031884932114,0.009377171578952384,Delta,Airlines,Q1-2024
-0.3282641196251448,-0.329553326903522,0.05701613806214962,-0.4994704100345718,0.16776243361753415,-0.5016886813769249,0.33128958529496366,-0.2709117583075692,0.11446530112904063,0.03853454981193662,-0.06725543326746036,0.03366243316181232,-0.005601358641638441,0.03173371807861165,-0.009203213573755678,0.014924641408474899,-4.599798838777344e-05,0.0045941315022331565,-0.00760050194929932,0.006567680569768672,-0.0011224308102470329,-0.0005654343834512106,0.002626686352190509,-0.001369630654380825,-0.005055794064986403,0.0002015316265575248,-0.010419634394922763,0.0034324171322068393,0.0001544607665658414,0.007538296568660962,Delta,Airlines,Q4-2023
-0.3082409251879144,-0.3352411387541089,0.06953059303053759,-0.4943094631475386,0.17265786304984793,-0.5037670938917092,0.32568649497794155,-0.27351419365576574,0.09932154610484213,0.03303414050505987,-0.06255352425841697,0.028809952307935007,-0.003428498741965457,0.032461907379423456,-0.008552131261258237,0.014722688306333175,0.005162799423749165,0.014600627455701306,-0.010729603177762519,0.0062026032320113295,-0.0026961673634287695,0.0023745864876574827,0.0036884068503761553,0.0017591557721345365,-0.005388989201871062,0.00047476491387324376,-0.0027568468879239174,0.011664267094072209,0.0009078854328798433,0.0025595377563668795,Delta,Airlines,Q3-2023
-0.30049179406406346,-0.33406302342607413,0.0627348205252218,-0.48911350202689174,0.16648918890706482,-0.5189930201595769,0.31350323064696534,-0.28300678516366784,0.10808920659174348,0.03960225644236828,-0.07145191734466003,0.03977944362433941,-0.0018584494483747417,0.03522823464474815,-0.008648029608906321,0.018944421444449057,-0.0031864295700611282,0.0072634358996062475,-0.004338557920519284,0.002928661125857728,-0.008190486976688375,0.007371399379775249,0.00022651943697501686,-0.004856528553134018,0.009794223789963048,0.003624499068176342,-0.0010090834208862892,0.009056212908476685,0.0061358632092788174,-0.01232704527375007,Delta,Airlines,Q2-2023
-0.30685689895503115,-0.32942543236746663,0.0701043581242721,-0.49022197472463874,0.17218792083330076,-0.5077716908062941,0.32808591844832014,-0.2703069198949151,0.09775660250312285,0.037937453070266074,-0.06363343329788014,0.0244695074616284,-0.0003679541559282187,0.030259344391626447,-0.01252436922377685,0.01286461787784639,-0.003785625687298611,0.007001764604086603,-0.005494844009618757,0.0036233422415693833,-0.0022405374178930486,0.017179963166688603,-0.0009428779421189602,-0.0006014835364546264,-0.0014735501848938295,0.004388957483404171,0.005380076783211808,-0.019239276586131202,0.00791715701967854,0.007831677756256039,Delta,Airlines,Q2-2024
-0.3522164777449485,-0.32993040735434104,0.05891826401179347,-0.49125397988928676,0.16039017235103714,-0.4787345349948608,0.30138563464246415,-0.2619872486180369,0.106881935262104,0.03712518068129062,-0.0613185503090932,0.03970641977223518,-0.01320714366124819,0.029589091395869942,-0.017898760463313658,0.0214299252087468,-0.008901250383714105,0.0057427816295986915,-0.01800881433309424,0.0003732301372793558,0.007756030998378684,-0.001589405732794636,0.012033123161501869,0.0036584099495988827,-0.001095089127205027,0.0004594556286201609,0.01124114733618964,-0.021891093335453072,-0.005663484699989811,0.01347680047474687,Delta,Airlines,Q4-2024
-0.32296824981072286,-0.33551487274980485,0.06569003159048817,-0.48645287545695265,0.17000864445645922,-0.5071947035163175,0.3184215996697965,-0.2730147616137618,0.09940275571108406,0.03187884577467251,-0.06101455473406053,0.03603488404176073,0.0014009392282844032,0.026945992316726692,-0.01230503433455119,0.009303447641067077,0.0028469481498564074,0.007923905204626696,-0.004276000100030274,0.0046278331090731355,-0.0023823804601839937,-0.0005007333510903349,-0.00460101235989404,-0.010722831881693281,0.0031192649069077425,-0.004571329622269357,-0.009199771185615057,0.024611147337038602,0.008697734918661666,-0.020849274589408617,Delta,Airlines,Q1-2023
-0.3207601376209412,-0.33014451189130245,0.06725322380816237,-0.5086668625940626,0.16473226250107992,-0.4983772937048105,0.3206398497081419,-0.2805326770732899,0.10479927904206598,0.04844984380937611,-0.06100572797626928,0.034837617151620905,-0.004485823708596118,0.01879241252066378,-0.013391147620542256,0.013013848731740793,-0.009465264031799028,0.006334132154042544,-0.007184548707881883,0.0007621156279853829,0.0005551320847946068,1.1658722932641126e-05,0.0028061738846220704,-0.000701512922766,0.004230768558613862,0.008802191279563968,0.0029526828382822378,-0.017672520324646532,-0.004291647814271778,0.006956033272281183,Delta,Airlines,Q3-2024
-0.543600854736794,0.26288281656182066,0.10378774504224812,0.19797304678337857,0.033282086338774476,-0.19380226866070838,0.005149428566856759,0.11276126125546028,0.059517489652623226,0.041773755547694524,-0.107909102672462,0.013526383353724924,0.04350058703312524,0.14869638439987928,-0.014215085046365544,-0.042385000035028576,-0.472601436569306,0.0016690220328050296,0.03721977078772401,0.004034481020993807,-0.04445247474588617,-0.031109342425280444,0.012429587904980248,-0.0008289949208874506,0.09290500108201863,-0.3401585441932456,-0.14082841790523798,-0.006938037011902714,0.05885332767132581,0.032013976869546636,Intel,Semiconductors,Q2-2023
-0.5219741178839399,0.29112840092002573,0.1220489104453277,0.1925945750421367,0.0375072841542715,-0.17971396600974732,0.007039059188115737,0.08075047929040131,0.0638645039521879,0.03072550499322923,-0.13163405978413817,-0.013191299871757987,0.043044217302108057,0.14614868497087027,-0.03645350334829109,-0.032768915191241595,-0.5299514507717481,-0.0019843567285371773,0.048126130628213505,0.00852153727538864,-0.02481315310273883,-0.017975426603647936,0.003845405419799717,0.011550678596480377,0.10317720421536092,-0.24608038066564897,-0.08679177834786744,0.006161541348420475,-0.0021959200504211235,0.01843862085887531,Intel,Semiconductors,Q3-2023
