PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Company,Quarter,Sector
-0.3113554636601133,0.017814480225462698,-0.46743198316508383,0.22932984219625493,0.48822242043662384,-0.33152622300567186,-0.287136947480486,0.027404864501553133,0.0074227778613014505,-0.07670271270221175,-0.031125484729874142,0.005399343218017163,-0.030594850776919334,-0.009804789890576088,0.009446351715198253,0.0038398891247536245,-0.005297224759516808,-0.007679459453937274,-0.0010837919055116149,-0.002708089415484064,delta,Q1-2024,Airlines
-0.29413379291321456,0.00499512455787571,-0.4765373526886399,0.2254623955059528,0.4895205246528788,-0.3357124118569384,-0.30396978799437774,0.007159747776296446,0.014401304994909409,-0.08180624748032664,-0.030842431410513318,0.008997708512586057,-0.031904270991651926,-0.00977663353173204,0.010324289438489738,0.002362519031243368,-0.005709397163939464,-0.011240121767340351,-0.0036633228236733944,0.00126006857805587,delta,Q4-2023,Airlines
-0.30729711781370805,0.01934856207444947,-0.47071317720042505,0.2298224514322591,0.4917416988025996,-0.33065652829536135,-0.3005762856399861,0.020844706376353047,0.011520878182386039,-0.07499549235738558,-0.026640468580492682,0.00616247806612291,-0.03259998073890499,-0.008837487263771628,0.01121409602839469,-0.003375743796564714,0.006375661245555664,-0.01349525129626581,-0.004349631785161444,-0.0016688921564295043,delta,Q3-2023,Airlines
-0.3087807859752626,0.01475925526175761,-0.465872965787623,0.223948957990525,0.5079362611752779,-0.31632850854893624,-0.3123455456100973,0.017539263338056905,0.016344187873447085,-0.08479646632076707,-0.03766476458211053,0.004746662364518327,-0.03537729057414584,-0.008784004848775612,0.015154659258355128,0.005096393215981541,-0.00039838121594209115,-0.006681092221538835,-0.0013108256392733966,-0.007778931448216498,delta,Q2-2023,Airlines
-0.30229613690075713,0.020955541414219993,-0.4666490839150056,0.22896917946713666,0.495777443052184,-0.3329882995023423,-0.29765604416721375,0.02012742301449898,0.016491712877451336,-0.07661515632680851,-0.022364750671164762,0.003036872944488697,-0.03040389739076985,-0.012902266234238605,0.00955837813031732,0.005508145188400639,-0.00018247390223806632,-0.007660100681065743,-0.002173645367848017,-0.0024732030322656487,delta,Q2-2024,Airlines
-0.2867690856646644,0.0032579481741542753,-0.4697501394403762,0.2162932167614987,0.4663254739669055,-0.3096490015487193,-0.28778225544251523,0.015316221925827848,0.012494335471235048,-0.0768590018683897,-0.035968801699093424,0.017346474091108326,-0.02978078516158213,-0.01845376382096031,0.01600184960774515,0.011845243764749184,-0.008044759996659207,-0.023523472084100324,0.0035472834282770423,0.011146748843891326,delta,Q4-2024,Airlines
-0.30235035525500775,0.01345832628189475,-0.46340732473680807,0.2259114628925121,0.49486927285091376,-0.3252765823961661,-0.2979798411303241,0.0229878190830316,0.00958533602978552,-0.07405333954393907,-0.033351903256618326,0.001967918224353003,-0.02713617069487274,-0.013144618023711528,0.004994023583641804,-0.0006790986730793444,-0.0021341491791235807,-0.008054634292815194,-0.0015404599726641858,0.0002571073409316243,delta,Q1-2023,Airlines
-0.2982356135154272,0.01607057202377599,-0.48601987931337104,0.22367856465923888,0.4865476815514862,-0.32509798757743624,-0.3084132111165583,0.019820400787890387,0.025611890562406994,-0.07663922313262142,-0.03169513966308703,0.007997346341097167,-0.018974367057930756,-0.014094658675425047,0.008510300447202331,0.011710311499689376,-0.003561978331379096,-0.010843173040640528,0.001916633491953874,0.002464546182924278,delta,Q3-2024,Airlines
0.3286252421001509,0.11012307754533113,0.19947722033180032,0.0057779686999026615,0.1882050997299545,-0.02491490742304634,0.09164005362447329,-0.08390116920449142,0.015902699848155618,-0.12068423585101705,-0.012731825191377317,-0.039468660523619706,-0.14905291383000518,-0.01879284131602436,-0.050888067405172065,0.4733588609086473,0.00213415955095912,0.03501186191522192,-0.00015359053885808418,-0.03933492748650625,intel,Q2-2023,Semiconductors
0.34634477784861695,0.13536552112461875,0.19502645765961896,0.011310573473761578,0.17503859789149387,-0.022405524207385022,0.059690832299479024,-0.0751253009467685,0.0019395594428866306,-0.14259321397229693,0.0123188595779917,-0.04032312648331592,-0.14643435638842728,-0.040154446094302715,-0.03896263804218724,0.5299682247193694,0.003841857158042668,0.04846659049367879,-0.006270654381850427,-0.022590487298587085,intel,Q3-2023,Semiconductors
0.33391389855084563,0.150626222298244,0.20739951123272407,-0.006256159263732744,0.18642607461904806,-0.02024533373796069,0.07066701400502773,-0.11666509016026867,0.011355950859180713,-0.13457186213907318,-0.005232796062336624,-0.04321185159749401,-0.19062711987563732,-0.04233137325130353,-0.041104938378942996,0.5390939576145778,0.02758958535572497,0.0552504910251555,-0.020155256260872462,-0.01503223769801657,intel,Q4-2023,Semiconductors
0.23009260565365183,0.12767859176065402,0.20560038068427874,-0.02250861492157036,0.17071549559808843,-0.02260671654193282,0.06338549434423557,-0.13816988797153018,-0.009029995312913777,-0.13861034722709303,-0.02088446303294354,-0.02485802859201453,-0.1518316546649594,-0.05119557532503661,-0.04790639438664021,0.5848211555936792,0.05264795013684385,0.05273503406346084,-0.042396592682976166,-0.011322561958038454,intel,Q1-2024,Semiconductors
0.24024385872892723,0.07896103143674232,0.25403889964556947,0.0378553028721749,0.16468831131632902,-0.02410839959445412,0.07750104801142582,-0.13244913281513038,-0.03334777834115263,-0.1505759066053425,-0.07488397917382711,-0.011810003121537986,-0.1374578749777356,-0.04543244437341563,-0.03624049622441014,0.4810586617277286,0.005633206587097967,0.04234011383238135,-0.015620595169097563,0.024093304352187882,intel,Q3-2024,Semiconductors
