SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,Company,Sector,Quarter
-0.3263734501815112,-0.34604357564630855,0.0727690017218561,-0.490584126197179,0.17368457180730068,-0.5013336527152934,0.3221290607033036,-0.2653756792631215,0.0917192259910912,0.029854506649254396,-0.06405169354689466,0.033644643636081856,-0.0021435744750774397,0.030421403075028202,-0.009201099719708387,0.013977203018987108,-0.0015591075365928061,0.005011285494696505,-0.0038490199068913654,0.004212888177931856,Delta,Airlines,Q1-2024
-0.3282641196251448,-0.329553326903522,0.05701613806214962,-0.4994704100345718,0.16776243361753415,-0.5016886813769249,0.33128958529496366,-0.2709117583075692,0.11446530112904063,0.03853454981193662,-0.06725543326746036,0.03366243316181232,-0.005601358641638441,0.03173371807861165,-0.009203213573755678,0.014924641408474899,-4.599798838777344e-05,0.0045941315022331565,-0.00760050194929932,0.006567680569768672,Delta,Airlines,Q4-2023
-0.3082409251879144,-0.3352411387541089,0.06953059303053759,-0.4943094631475386,0.17265786304984793,-0.5037670938917092,0.32568649497794155,-0.27351419365576574,0.09932154610484213,0.03303414050505987,-0.06255352425841697,0.028809952307935007,-0.003428498741965457,0.032461907379423456,-0.008552131261258237,0.014722688306333175,0.005162799423749165,0.014600627455701306,-0.010729603177762519,0.0062026032320113295,Delta,Airlines,Q3-2023
-0.30049179406406346,-0.33406302342607413,0.0627348205252218,-0.48911350202689174,0.16648918890706482,-0.5189930201595769,0.31350323064696534,-0.28300678516366784,0.10808920659174348,0.03960225644236828,-0.07145191734466003,0.03977944362433941,-0.0018584494483747417,0.03522823464474815,-0.008648029608906321,0.018944421444449057,-0.0031864295700611282,0.0072634358996062475,-0.004338557920519284,0.002928661125857728,Delta,Airlines,Q2-2023
-0.30685689895503115,-0.32942543236746663,0.0701043581242721,-0.49022197472463874,0.17218792083330076,-0.5077716908062941,0.32808591844832014,-0.2703069198949151,0.09775660250312285,0.037937453070266074,-0.06363343329788014,0.0244695074616284,-0.0003679541559282187,0.030259344391626447,-0.01252436922377685,0.01286461787784639,-0.003785625687298611,0.007001764604086603,-0.005494844009618757,0.0036233422415693833,Delta,Airlines,Q2-2024
-0.3522164777449485,-0.32993040735434104,0.05891826401179347,-0.49125397988928676,0.16039017235103714,-0.4787345349948608,0.30138563464246415,-0.2619872486180369,0.106881935262104,0.03712518068129062,-0.0613185503090932,0.03970641977223518,-0.01320714366124819,0.029589091395869942,-0.017898760463313658,0.0214299252087468,-0.008901250383714105,0.0057427816295986915,-0.01800881433309424,0.0003732301372793558,Delta,Airlines,Q4-2024
-0.32296824981072286,-0.33551487274980485,0.06569003159048817,-0.48645287545695265,0.17000864445645922,-0.5071947035163175,0.3184215996697965,-0.2730147616137618,0.09940275571108406,0.03187884577467251,-0.06101455473406053,0.03603488404176073,0.0014009392282844032,0.026945992316726692,-0.01230503433455119,0.009303447641067077,0.0028469481498564074,0.007923905204626696,-0.004276000100030274,0.0046278331090731355,Delta,Airlines,Q1-2023
-0.3207601376209412,-0.33014451189130245,0.06725322380816237,-0.5086668625940626,0.16473226250107992,-0.4983772937048105,0.3206398497081419,-0.2805326770732899,0.10479927904206598,0.04844984380937611,-0.06100572797626928,0.034837617151620905,-0.004485823708596118,0.01879241252066378,-0.013391147620542256,0.013013848731740793,-0.009465264031799028,0.006334132154042544,-0.007184548707881883,0.0007621156279853829,Delta,Airlines,Q3-2024
-0.543600854736794,0.26288281656182066,0.10378774504224812,0.19797304678337857,0.033282086338774476,-0.19380226866070838,0.005149428566856759,0.11276126125546028,0.059517489652623226,0.041773755547694524,-0.107909102672462,0.013526383353724924,0.04350058703312524,0.14869638439987928,-0.014215085046365544,-0.042385000035028576,-0.472601436569306,0.0016690220328050296,0.03721977078772401,0.004034481020993807,Intel,Semiconductors,Q2-2023
-0.5219741178839399,0.29112840092002573,0.1220489104453277,0.1925945750421367,0.0375072841542715,-0.17971396600974732,0.007039059188115737,0.08075047929040131,0.0638645039521879,0.03072550499322923,-0.13163405978413817,-0.013191299871757987,0.043044217302108057,0.14614868497087027,-0.03645350334829109,-0.032768915191241595,-0.5299514507717481,-0.0019843567285371773,0.048126130628213505,0.00852153727538864,Intel,Semiconductors,Q3-2023
-0.5352150602521013,0.27645860313449716,0.14081266152159955,0.20733351733920927,0.022255310067700686,-0.19137428148079286,0.005403232349114394,0.10782940953856575,0.09922550835430682,0.04199015641457173,-0.11973338305303612,0.006228054543054237,0.0475547011566133,0.19024717426791624,-0.03810292639815487,-0.033150638476228816,-0.5384997696768585,0.0262266163171357,0.05747755422474461,0.025622572781465798,Intel,Semiconductors,Q4-2023
-0.4608399915720003,0.18979273190207518,0.11988629571622819,0.20723270438498473,0.004880185618007198,-0.17419222710045487,0.01449615873419478,0.11232160051532039,0.1160025720361312,0.020643809083887316,-0.12883653011063986,0.020373051255877923,0.02802921082119593,0.1515676568655045,-0.04708292610684585,-0.04262677995828935,-0.5857374018760877,0.04396210096311369,0.051142841104629355,0.04472508238618874,Intel,Semiconductors,Q1-2024
