SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,Company,Sector,Quarter
-0.3695189616192998,0.14974215021916173,-0.008824941665034804,0.0853341742643438,-0.058221802460048315,0.08528954747368273,-0.12292367549493355,0.16990308124598247,-0.2931628549320158,0.24121140711280567,-0.029263396408083592,-0.3569241621483215,-0.1333830452833763,0.06449983491428266,-0.0038437848864605285,0.031704947416483484,-0.00859632154355954,0.04042929726698738,-0.01097413346418137,0.02096395856929573,3M,ConsumerGoods,Q1-2023
-0.422105311689255,0.20558637543019373,0.009955746756528938,0.14763770113378177,-0.10528330164655064,0.10663705828963911,-0.11077938476233716,0.2217852398473561,-0.3568097123174302,0.3229493853461258,-0.052058923956507096,-0.4351587689109665,-0.17526915598541704,0.06711516474602448,-0.05085717215619426,0.04326671388007873,-0.0006539331486023481,0.031637386674008054,-0.04317193034011541,0.011383262195717543,3M,ConsumerGoods,Q1-2024
-0.3916876835944954,0.18094801014568182,0.003085227935971153,0.13940256178108698,-0.10783507109962509,0.10040234236165181,-0.14671306776176352,0.19533321311999008,-0.3579869553347039,0.3227415214068922,-0.03256256298115614,-0.42500170216910127,-0.13905578447035716,0.07173460274958163,-0.02644287296698365,0.06328724064529584,-0.008116026458470697,0.04767314950869628,-0.04762251452463812,-0.001025154199013904,3M,ConsumerGoods,Q2-2023
-0.4640337638355191,0.17067314999870412,0.05090623625524279,0.03927462840942612,-0.07502301088166992,0.05611571147914174,-0.10379442167462549,0.16911380000884182,-0.22549210765085045,0.251392230515107,-0.05025782773920526,-0.2308420493530282,-0.09256226251863256,0.051413327556624394,-0.008254779504701893,0.04740280716921141,-0.008018701709955549,0.004844811673298835,-0.03372034193040148,-0.013054107820633758,3M,ConsumerGoods,Q2-2024
-0.4160017145387285,0.1890814889574632,0.012935886420569021,0.11635990010655357,-0.09592563923728395,0.11033271978738515,-0.1607649783123829,0.21066240576409773,-0.3854958509206457,0.3601989948042467,-0.057435127390288276,-0.45607212990050033,-0.1533210636691709,0.07838213055230125,-0.03724587155793859,0.07404951233115907,0.009021517125306255,0.04163108504567424,-0.051643626650085366,0.007623984896380871,3M,ConsumerGoods,Q3-2023
-0.5140076039547158,0.18874251129981717,0.06139104014025833,-0.021958512050668913,-0.01789481729573733,0.06532409679251737,-0.1303211727708678,0.14656433173972444,-0.2037991481875349,0.25572487900825547,-0.10015222550768171,-0.19343906726642288,-0.09982567806571327,0.049912669276460236,-0.03860442133112433,0.007603038416272338,-0.026527503175284378,0.005113357751503455,-0.029410890744122117,-0.032722870070324844,3M,ConsumerGoods,Q3-2024
-0.3718332879495181,0.1937026294683814,0.007223010137889335,0.1516065576425892,-0.09556460726191235,0.07967895764430355,-0.10759481064803031,0.18266279240699093,-0.3205493691054288,0.29805819014521295,-0.027935004034697182,-0.4067604523124168,-0.13997611993180462,0.0724669141623096,-0.014735829125975765,0.050066258695668504,0.0015418537157789918,0.03896875758916231,-0.03850852506858975,0.022778696615473732,3M,ConsumerGoods,Q4-2023
-0.5004199774030083,0.1941868646115826,0.0508703291063413,0.002265994881638074,-0.06814547882369609,0.09799628625886278,-0.11470300143159347,0.14605119680269532,-0.2485466892338794,0.2813253580096222,-0.06551973161971279,-0.2231450499254678,-0.09534093567106333,0.033310085810693606,-0.05635802661265282,0.03218102609624443,-0.06400844420775002,0.04875372488082521,-0.03823387602729283,-0.017665212529880146,3M,ConsumerGoods,Q4-2024
-0.4941037139443729,-0.26572657757420914,-0.004181442961177371,-0.010718219820520394,-0.20471459837818273,0.2056859324671182,-0.13489112007784487,-0.09348920196244888,0.07422497634221352,0.0760683838918196,0.1523254383987347,0.08049790702815207,-0.17399553074776342,0.07393439448919133,-0.05582968965163828,-0.0020418268703265292,-0.09912070213885368,-0.19471308734655082,-0.014071134315591559,0.07284616786419798,AMD,Semiconductors,Q1-2023
-0.6064145715139004,-0.3082735293943633,0.0008478687074977535,-0.03687985829579859,-0.24696887778755391,0.24259622147245888,-0.1771244587621016,-0.11180538156298947,0.12912399561556323,0.1144174127380467,0.19534376750702123,0.14380656641305226,-0.18766486315086878,0.034395973802825365,-0.011064318656957416,-0.039659983079825815,-0.1397622106454827,-0.2387938522766479,-0.02842174630407593,0.022624194016857103,AMD,Semiconductors,Q1-2024
-0.5998032141773292,-0.309044628517066,-0.016688891708625985,-0.0207613345120726,-0.20052501739101727,0.17661130592358212,-0.15601820763059127,-0.08159382788300779,0.04801630677777682,0.08813183572808451,0.11759242440735306,0.12912116055171144,-0.15153307246465883,-0.006235359604840507,-0.049675756130134675,-0.01403738534972735,-0.1331843558702727,-0.288851266947739,-0.03596037946130324,0.13925763316618112,AMD,Semiconductors,Q2-2023
-0.6062687307998962,-0.33761336457610164,-0.014130920644076608,-0.013987022195547314,-0.21406374512092563,0.21506819564366245,-0.14811055408935545,-0.10829289844942004,0.09912554773735113,0.08803499021325052,0.15649945983997188,0.13080630670133372,-0.17500513766164716,0.024661544259395842,-0.04818066985506265,-0.03352350303094205,-0.11368082962289174,-0.21175599427139913,-0.009993066180775223,0.056056340500411236,AMD,Semiconductors,Q2-2024
