PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Company,Quarter,Sector
-0.12293918743048557,-0.03605224343472847,-0.1216955053071635,0.10063826093282488,0.0110217981618864,0.027023702213166537,-0.2996956421492119,-0.19684867872566858,0.43258829784217295,-0.10598913801940733,0.2928957320434504,0.3904161417447646,0.025847391675802734,-0.09843464768572287,0.08965181170005791,-0.001900487094040391,-0.07159938495338018,0.01651844444567597,0.03203743573976212,0.014240498688319626,3m,Q1-2023,ConsumerGoods
-0.15211473408701812,-0.06611176272838666,-0.136915359867053,0.15005177196601824,-0.003384343307868075,0.05050160123033631,-0.2565610016219021,-0.20854970341474194,0.4319201971272369,-0.10746669896253397,0.2924655595469542,0.37880407641846486,0.02236271053975021,-0.1175557475879806,0.09682982487542977,0.005145732420785222,-0.019084702536931803,0.033749114627525174,0.030177289103678537,0.0019144931855764823,3m,Q1-2024,ConsumerGoods
-0.14142618858000724,-0.03930401827313018,-0.14623831557381245,0.1470982126771111,0.013565395091607665,0.016135378033150682,-0.29049255525690376,-0.20753148432121907,0.4411472705354931,-0.10775453509387627,0.31550386578778716,0.3837347871891005,0.016622563105575215,-0.09058883916385597,0.0973058003802403,0.025363611575049357,-0.05375455985815457,0.044639086612168144,0.016295157269035642,0.012080934074280347,3m,Q2-2023,ConsumerGoods
-0.12060998624286522,-0.134638874140512,-0.09530675337160564,0.04134323828280313,-0.008204513521978037,-0.006942635722847632,-0.21752140433746,-0.18373308764520407,0.3596272490699872,-0.04564915280926347,0.2171925801391944,0.2885704520837823,0.020006154626186275,-0.07734859443122448,0.07252979872526134,0.009200722370533517,0.017558387227408996,0.038370389804178395,-0.014877141098335734,-0.020507931654269777,3m,Q2-2024,ConsumerGoods
-0.13590623185969203,-0.056404665290225864,-0.12336485173893486,0.11036966032036521,0.007431909370432808,0.015296457242519039,-0.297626915458936,-0.2094352785730119,0.45963325208490663,-0.10522656702198882,0.30857747470354324,0.40366756828276495,0.024460114910910425,-0.11015670487585515,0.10352886559383438,0.03869097689283002,-0.0395666319978673,0.047075518516999204,0.016900042131509585,0.0006128459365070799,3m,Q3-2023,ConsumerGoods
-0.10753016901551347,-0.15795112856434612,-0.05040573498175585,-0.03604513990286993,-0.015026187931411856,-0.036098800825520694,-0.26148241496284874,-0.13834916399648606,0.315622819049299,0.0005204799353687385,0.15402887635837553,0.2586564484287456,-0.001297184019518993,-0.09351885901041472,0.06928009502434962,-0.028399722704762403,0.01997032849359533,0.044556416631762116,-0.05494395130416165,-0.02338260499388106,3m,Q3-2024,ConsumerGoods
-0.15477838253510173,-0.04547192172504405,-0.13382031797930014,0.16187529799578435,-0.0135263462251285,0.0362320110279228,-0.2312797907932369,-0.1945338107288638,0.41335258402216274,-0.11027881020520344,0.2980134856198274,0.37674866772219706,0.029544153711103277,-0.09077010662770647,0.08200828015833912,0.02519194677038803,-0.03820227180028945,0.025210082330346058,0.03772386473464513,-0.0012545954090583172,3m,Q4-2023,ConsumerGoods
-0.12255188458022667,-0.14866824704512696,-0.09161738303281129,-0.006674737996991469,0.012730094059137293,0.007155545211361631,-0.25140636635969105,-0.14659213904739732,0.3511529335916697,-0.01671295061377468,0.1962622242294596,0.2552355128708237,-0.02423377297611155,-0.08336013562387709,0.062113386774095454,-0.07053394238185338,0.00820573857186226,0.03503591734175559,-0.027078538487077464,-0.009148907669851481,3m,Q4-2024,ConsumerGoods
0.4319870024617753,-0.027571131558488324,-0.19286933987853302,-0.025251319220087387,0.23252190400746864,-0.07731663472836707,-0.19716360956673643,0.11937457059178146,-0.14596664873935813,0.1407411838573666,0.20149932169947674,-0.13256892228449532,0.096457469530356,-0.20215784535029974,0.10404611109890101,-0.019082883652314503,0.22384918707171952,-0.017607843463115207,0.05620249546175251,0.0032640056628822282,amd,Q1-2023,Semiconductors
0.4181316454272927,-0.015404495128242005,-0.1775257661843917,-0.027245374622013235,0.23254640689827752,-0.09121785568285175,-0.2105727832848536,0.11555048894331145,-0.15085836250824236,0.1610678088038084,0.19821292945324834,-0.16232495139750858,0.115875199130152,-0.18928476616526635,0.07732556956538035,-0.030406240050707502,0.28493229122719527,0.009638259442187252,0.013895254077291046,0.012822177402980198,amd,Q1-2024,Semiconductors
